muon_pt,muon_eta,muon_phi,MET,MET_phi
552.7380531833089,-2.6938222939713174,3.070056745040232,389.87225135129563,-0.6263613696688388
407.85387454700447,-0.7458419696405346,-0.1468337523452255,208.25326271303118,-1.24436377952628
207.34739727122528,-0.45022810089165033,-1.180252159278095,165.01253655576772,1.4921869493564222
77.55698601399732,-0.14931815389536357,0.036111613077178195,102.43150465395833,-2.7496191156451877
258.9796663284798,1.2734989345361618,0.618953001249677,120.36922307686632,-2.9127614181735897
283.11478905639234,0.8042995642873435,-1.4952109987308178,273.862677221964,1.040215085625551
37.93223306309017,1.6740903142587107,-2.913335352615351,91.03838436734208,0.6361684830017555
691.1132115849206,-1.4025750050712558,-1.3454327405421802,432.99584491920035,3.084805271340138
508.449226562172,0.002224469175494845,0.22577366453845893,277.6235117548546,-2.1147575986470075
50.51753342431335,-0.07881506215058352,1.4466480446683636,66.54746766405913,-2.701350043179815
